hltTimingSummary output at a glance: 

Input file: outputTiming.root
Output root file name: outfile.root

NOTE: Results obtained using CPU time.
      Due to resolution effects in CPUTimer, event histograms may not reflect reality.
      Please be aware of these limitations when drawing your conclusions.

Skipping 65 event(s) due to module initialization:
Events 0, 1, 15, 77, 26, 24, 79, 5, 20, 7516, 271, 186, 258, 530, 56, 1773, 2049, 4609, 1999, 76, 350, 952, 97583, 379, 804, 24881, 39009, 15592, 7970, 99410, 8614, 4317, 17, 164, 395, 19, 2203, 13822, 2379, 3761, 16184, 38, 118, 222, 512, 158, 108, 5473, 207, 751, 4069, 6102, 15685, 28967, 3990, 77063, 1621, 123, 4843, 692, 300, 561, 25, 800, 3887

Not including any information from the following excluded modules: 
hltGetRaw
hltGetConditions
hltBoolFalse
hltBoolTrue

Average path times are as follows (all in msec): 
  11.1033 (path HLT_Ele27_WP80_PFMT50_v9)
   7.1675 (path HLT_Ele32_WP70_v3)
   7.9781 (path HLT_Ele32_WP70_PFMT50_v9)
  24.7684 (path HLT_Ele32_CaloIdL_CaloIsoVL_TrkIdVL_TrkIsoVL_v3)
  12.6994 (path HLT_Ele32_CaloIdT_CaloIsoT_TrkIdT_TrkIsoT_SC17_v8)
  12.7515 (path HLT_Ele32_CaloIdT_CaloIsoT_TrkIdT_TrkIsoT_Ele17_v3)
   6.5221 (path HLT_Ele65_CaloIdVT_TrkIdT_v6)
   6.2591 (path HLT_Ele80_CaloIdVT_TrkIdT_v3)
   6.1574 (path HLT_Ele100_CaloIdVT_TrkIdT_v3)
   3.9195 (path HLT_DoubleEle8_CaloIdT_TrkIdVL_v5)
  15.7539 (path HLT_DoubleEle33_CaloIdL_v7)
  11.1679 (path HLT_DoubleEle33_CaloIdL_CaloIsoT_v3)
  12.6717 (path HLT_DoubleEle33_CaloIdT_v3)
   9.2306 (path HLT_DoubleEle45_CaloIdL_v6)
   3.9217 (path HLT_MediumIsoPFTau35_Trk20_v6)
   3.9139 (path HLT_MediumIsoPFTau35_Trk20_MET60_v6)
   3.9139 (path HLT_MediumIsoPFTau35_Trk20_MET70_v6)
   3.9136 (path HLT_DoubleIsoPFTau45_Trk5_eta2p1_v8)
   3.9136 (path HLT_DoubleIsoPFTau55_Trk5_eta2p1_v5)
  27.8041 (path HLT_HT350_DoubleIsoPFTau10_Trk3_PFMHT45_v13)
  18.5519 (path HLT_HT400_DoubleIsoPFTau10_Trk3_PFMHT50_v5)
   3.9156 (path HLT_BTagMu_DiJet20_Mu5_v14)
   3.9121 (path HLT_BTagMu_DiJet40_Mu5_v14)
   3.9129 (path HLT_BTagMu_DiJet70_Mu5_v14)
   3.9129 (path HLT_BTagMu_DiJet110_Mu5_v14)
   4.7269 (path HLT_Mu10_R014_MR200_v5)
   4.7269 (path HLT_Mu10_R025_MR200_v6)
   4.7268 (path HLT_Mu10_R029_MR200_v6)
   4.7268 (path HLT_Mu10_R033_MR200_v5)
   8.4497 (path HLT_HT300_Mu15_PFMHT40_v6)
   5.0813 (path HLT_HT300_Mu15_PFMHT50_v5)
   9.1632 (path HLT_HT350_Mu5_PFMHT45_v13)
   5.2513 (path HLT_HT400_Mu5_PFMHT50_v5)
   3.9153 (path HLT_Mu5_DoubleEle8_CaloIdT_TrkIdVL_v8)
   3.9133 (path HLT_Mu5_Ele8_CaloIdT_CaloIsoVL_v5)
   3.9237 (path HLT_Mu5_Ele8_CaloIdT_TrkIdVL_Mass8_HT150_v5)
   3.9237 (path HLT_Mu8_Ele8_CaloIdT_TrkIdVL_Mass8_HT150_v5)
   3.9237 (path HLT_Mu8_Ele8_CaloIdT_TrkIdVL_Mass8_HT200_v5)
   3.9237 (path HLT_TkIso10Mu5_Ele8_CaloIdT_CaloIsoVVL_TrkIdVL_Mass8_HT150_v5)
   3.9237 (path HLT_TkIso10Mu5_Ele8_CaloIdT_CaloIsoVVL_TrkIdVL_Mass8_HT200_v5)
   3.9153 (path HLT_Mu5_Ele8_CaloIdT_TrkIdVL_Ele8_CaloIdL_TrkIdVL_v8)
   3.9232 (path HLT_Mu8_Ele17_CaloIdL_v13)
   3.9232 (path HLT_Mu8_Ele17_CaloIdT_CaloIsoVL_v8)
   3.9232 (path HLT_Mu8_Photon20_CaloIdVT_IsoT_v13)
   3.9121 (path HLT_Mu8_Jet40_v15)
   3.9144 (path HLT_Mu15_L1ETM20_v4)
   3.9232 (path HLT_Mu15_Photon20_CaloIdL_v14)
   3.9153 (path HLT_Mu15_DoublePhoton15_CaloIdL_v14)
   3.9148 (path HLT_Mu15_LooseIsoPFTau15_v14)
   3.9147 (path HLT_Mu17_eta2p1_CentralPFJet30_v3)
   3.9147 (path HLT_Mu17_eta2p1_DiCentralPFJet30_v3)
   3.9147 (path HLT_Mu17_eta2p1_TriCentralPFJet30_v3)
   3.9147 (path HLT_Mu17_eta2p1_QuadCentralPFJet30_v3)
   3.9147 (path HLT_Mu17_eta2p1_CentralJet30_BTagIP_v6)
   3.9135 (path HLT_Mu17_Ele8_CaloIdL_v13)
   3.9266 (path HLT_Mu17_Ele8_CaloIdT_CaloIsoVL_v8)
   3.9245 (path HLT_Mu12_eta2p1_DiCentralJet20_BTagIP3D1stTrack_v6)
   3.9245 (path HLT_Mu12_eta2p1_DiCentralJet20_DiBTagIP3D1stTrack_v6)
   3.9237 (path HLT_Mu40_HT300_v5)
   3.9237 (path HLT_Mu60_HT300_v5)
   3.9144 (path HLT_IsoMu15_L1ETM20_v4)
   3.9147 (path HLT_IsoMu15_eta2p1_LooseIsoPFTau20_v6)
   3.9147 (path HLT_IsoMu15_eta2p1_MediumIsoPFTau20_v6)
   3.9147 (path HLT_IsoMu15_eta2p1_TightIsoPFTau20_v6)
   3.9147 (path HLT_IsoMu17_eta2p1_CentralJet30_v6)
   3.9147 (path HLT_IsoMu17_eta2p1_CentralPFJet30_v3)
   3.9147 (path HLT_IsoMu17_eta2p1_DiCentralPFJet30_v3)
   3.9147 (path HLT_IsoMu17_eta2p1_TriCentralPFJet30_v3)
   3.9147 (path HLT_IsoMu17_eta2p1_QuadCentralPFJet30_v3)
   3.9147 (path HLT_IsoMu17_eta2p1_CentralJet30_BTagIP_v6)
   3.9147 (path HLT_Mu17_eta2p1_DiCentralPFJet25_PFMHT15_v5)
   3.9147 (path HLT_IsoMu17_eta2p1_DiCentralPFJet25_v5)
   3.9147 (path HLT_IsoMu17_eta2p1_DiCentralPFJet25_PFMHT15_v5)
   3.9147 (path HLT_IsoMu17_eta2p1_DiCentralPFJet25_PFMHT25_v5)
   3.9147 (path HLT_Mu17_eta2p1_DiPFJet25_Deta3_v5)
   3.9147 (path HLT_IsoMu17_eta2p1_DiPFJet25_Deta3_v5)
   3.9147 (path HLT_IsoMu17_eta2p1_DiPFJet25_Deta3_PFJet25_v5)
   3.9237 (path HLT_DoubleMu5_Mass8_HT150_v5)
   3.9237 (path HLT_DoubleMu8_Mass8_HT150_v5)
   3.9237 (path HLT_DoubleMu8_Mass8_HT200_v5)
   3.9237 (path HLT_DoubleTkIso10Mu5_Mass8_HT150_v5)
   3.9237 (path HLT_DoubleTkIso10Mu5_Mass8_HT200_v5)
   3.9218 (path HLT_DoubleMu5_Ele8_CaloIdT_TrkIdVL_v8)
   3.9218 (path HLT_DoubleMu5_Ele8_CaloIdT_TrkIdT_v4)
   7.1402 (path HLT_Photon40_CaloIdL_R014_MR150_v1)
   7.1393 (path HLT_Photon40_CaloIdL_R017_MR500_v6)
   7.1392 (path HLT_Photon40_CaloIdL_R023_MR350_v6)
   7.1395 (path HLT_Photon40_CaloIdL_R029_MR250_v6)
   7.1393 (path HLT_Photon40_CaloIdL_R042_MR200_v6)
   6.9808 (path HLT_DoublePhoton40_CaloIdL_MR150_v3)
   6.9806 (path HLT_DoublePhoton40_CaloIdL_R014_MR150_v3)
   6.4055 (path HLT_Photon55_CaloIdL_R017_MR500_v4)
   6.4053 (path HLT_Photon55_CaloIdL_R023_MR350_v4)
   6.4054 (path HLT_Photon55_CaloIdL_R029_MR250_v4)
   6.4053 (path HLT_Photon55_CaloIdL_R042_MR200_v4)
  13.7448 (path HLT_HT350_Ele5_CaloIdVL_CaloIsoVL_TrkIdVL_TrkIsoVL_PFMHT45_v11)
  11.3180 (path HLT_HT400_Ele5_CaloIdVL_CaloIsoVL_TrkIdVL_TrkIsoVL_PFMHT50_v5)
   3.9321 (path HLT_HT400_Ele60_CaloIdT_TrkIdT_v5)
   3.9321 (path HLT_HT450_Ele60_CaloIdT_TrkIdT_v4)
   3.9122 (path HLT_Ele8_CaloIdT_TrkIdT_DiJet30_v9)
   3.9122 (path HLT_Ele8_CaloIdT_TrkIdT_TriJet30_v9)
   3.9122 (path HLT_Ele8_CaloIdT_TrkIdT_QuadJet30_v9)
   3.9123 (path HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v12)
   3.9321 (path HLT_Ele15_CaloIdT_CaloIsoVL_TrkIdT_TrkIsoVL_HT250_PFMHT40_v6)
   3.9321 (path HLT_Ele15_CaloIdT_CaloIsoVL_TrkIdT_TrkIsoVL_HT250_PFMHT50_v5)
  11.3496 (path HLT_Ele12_CaloIdL_CaloIsoVL_TrkIdVL_TrkIsoVL_R014_MR200_v4)
   8.9303 (path HLT_Ele12_CaloIdL_CaloIsoVL_TrkIdVL_TrkIsoVL_R025_MR200_v5)
   8.4652 (path HLT_Ele12_CaloIdL_CaloIsoVL_TrkIdVL_TrkIsoVL_R029_MR200_v5)
   8.0084 (path HLT_Ele12_CaloIdL_CaloIsoVL_TrkIdVL_TrkIsoVL_R033_MR200_v4)
   3.9326 (path HLT_Ele18_CaloIdVT_TrkIdT_MediumIsoPFTau20_v6)
